duration,protocol_type,service,flag,src_bytes,dst_bytes,hot,num_failed_logins,logged_in,num_compromised,num_root,num_file_creations,num_shells,num_access_files,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,label,attack_type,attack_type_encoded
0,1,19,9,491,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,0.0,0.0,normal,Normal,1
0,2,41,9,146,0,0,0,0,0,0,0,0,0,13,1,0.0,0.0,0.08,0.15,0.0,normal,Normal,1
0,1,46,5,0,0,0,0,0,0,0,0,0,0,123,6,1.0,0.0,0.05,0.07,0.0,neptune,DoS,0
0,1,22,9,232,8153,0,0,1,0,0,0,0,0,5,5,0.2,0.0,1.0,0.0,0.0,normal,Normal,1
0,1,22,9,199,420,0,0,1,0,0,0,0,0,30,32,0.0,0.0,1.0,0.0,0.09,normal,Normal,1
0,1,46,1,0,0,0,0,0,0,0,0,0,0,121,19,0.0,1.0,0.16,0.06,0.0,neptune,DoS,0
0,1,46,5,0,0,0,0,0,0,0,0,0,0,166,9,1.0,0.0,0.05,0.06,0.0,neptune,DoS,0
0,1,46,5,0,0,0,0,0,0,0,0,0,0,117,16,1.0,0.0,0.14,0.06,0.0,neptune,DoS,0
0,1,48,5,0,0,0,0,0,0,0,0,0,0,270,23,1.0,0.0,0.09,0.05,0.0,neptune,DoS,0
0,1,46,5,0,0,0,0,0,0,0,0,0,0,133,8,1.0,0.0,0.06,0.06,0.0,neptune,DoS,0
0,1,46,1,0,0,0,0,0,0,0,0,0,0,205,12,0.0,1.0,0.06,0.06,0.0,neptune,DoS,0
0,1,46,5,0,0,0,0,0,0,0,0,0,0,199,3,1.0,0.0,0.02,0.06,0.0,neptune,DoS,0
0,1,22,9,287,2251,0,0,1,0,0,0,0,0,3,7,0.0,0.0,1.0,0.0,0.43,normal,Normal,1
0,1,19,9,334,0,0,0,1,0,0,0,0,0,2,2,0.0,0.0,1.0,0.0,0.0,warezclient,R2L,3
0,1,33,5,0,0,0,0,0,0,0,0,0,0,233,1,1.0,0.0,0.0,0.06,0.0,neptune,DoS,0
0,1,35,5,0,0,0,0,0,0,0,0,0,0,96,16,1.0,0.0,0.17,0.05,0.0,neptune,DoS,0
0,1,22,9,300,13788,0,0,1,0,0,0,0,0,8,9,0.0,0.0,1.0,0.0,0.22,normal,Normal,1
0,0,13,9,18,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,ipsweep,Probe,2
0,1,22,9,233,616,0,0,1,0,0,0,0,0,3,3,0.0,0.0,1.0,0.0,0.0,normal,Normal,1
0,1,22,9,343,1178,0,0,1,0,0,0,0,0,9,10,0.0,0.0,1.0,0.0,0.2,normal,Normal,1
0,1,32,5,0,0,0,0,0,0,0,0,0,0,223,23,1.0,0.0,0.1,0.05,0.0,neptune,DoS,0
0,1,46,5,0,0,0,0,0,0,0,0,0,0,280,17,1.0,0.0,0.06,0.05,0.0,neptune,DoS,0
0,1,22,9,253,11905,0,0,1,0,0,0,0,0,8,10,0.0,0.0,1.0,0.0,0.2,normal,Normal,1
5607,2,41,9,147,105,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,normal,Normal,1
